19810006;B.S. in Agriculture Agronomy;1981;1981; MSU-Maguindanao
19870006;BSBA Marketing;April;1987; MSU-Marawi
19980005;BSBA Marketing;April;1998; MSU-Marawi
20040002;Associate in Health Science Education;April;2004; MSU-Marawi
19870007;Bachelor of Arts English Linguistics;March;1987; MSU-IIT
19790002;BSBA Economics;April;1979; MSU-Marawi
19800004;B.S. in Chemical Engineering;April;1980; MSU-Marawi
20000006;Diploma in Engineering Technology;April;2000; MSU-   Marawi
19950002;Bachelor of Secondary Education Filipino;1995;1995; MSU-Buug
19980006;Diploma in Forestry Technology;April;1998; MSU-Marawi
19980006;B.S. in Community Development;April;2001; MSU-Marawi
19880003;B.S. in Civil Engineering;April;1988; MSU-Marawi
19890004;Diploma in Engineering Technology;April;1989; MSU-IIT
19880004;B.S. in Civil Engineering;April;1988; MSU-Marawi
19880005;B.S. in Public Administration;April;1988; MSU-Marawi
20080003;Doctor of Medicine;April;2008; MSU-Marawi
19730001;BSBA Accounting;1973;1973; MSU-IIT
19990004;B.S. in Social Work;March;1999; MSU-Marawi
20070005;Associate in Health Science Education;April;2007; MSU-Marawi at MSU-IIT Extension
20070005;B.S. in Nursing;April;2008; MSU-Marawi at MSU-IIT Extension
19820002;Diploma in Engineering Technology;1982;1982; MSU-IIT and B.S. in Mathematics-April 3, 1989
19910001;B.S. in Mechanical Engineering;April;1991; MSU-Marawi
20060005;Associate in Health Science Education;April;2006; MSU-Marawi at MSU-IIT Extension
20060005;B.S. in Nursing;April;2008; MSU-Marawi at MSU-IIT Extension
20090002;Doctor of Medicine;April;2009; MSU-Marawi
20040003;B.S. in Civil Engineering;April;2004; MSU-Marawi
19900003;BSBA Accounting;March;1990; MSU-IIT
19820003;B.S. in Industrial Education;1982;1982; MSU-IIT
19960001;B.S. in Home Economics Home Arts;March;1996; MSU- Marawi
19870008;BSBA Economics;April;1987; MSU-Marawi
20050004;Ph.D. in Educational Management;December;2005; MSU-Marawi
20030005;B.S. in Civil Engineering;December;2003; MSU-Marawi
20000007;B.S. in Public Administration;April;2000; MSU-Marawi
19810007;Diploma in Engineering Technology;1981;1981; MSU-IIT
20060006;B.S. in Hotel and Restaurant Management;November;2006; MSU-Marawi
19330001;B.S. in Civil Engineering;April;1933; MSU-Marawi
20070006;B.S. in Mechanical Engineering;November;2007; MSU-Marawi
19900004;B.S. in Civil Engineering;April;1990; MSU-Marawi
19920001;B.S. in Mechanical Engineering;April;1992; MSU-Marawi
19900005;B.S. in Electrical Engineering;April;1990; MSU-Marawi
19830005;Diploma in Secretarial Science;March;1983; MSU-IIT
19890005;Diploma in Engineering Technology;April;1989; MSU-IIT
20030006;Diploma in Engineering Technology;April;2003; MSU-Marawi
20010006;Diploma in Agricultural Technology;April;2001; MSU- Marawi
19750001;B.S. in Electrical Engineering;May;1975; MSU-Marawi
19880006;B.S. in Physical Education;April;1988; MSU-Marawi
19810008;B.S. in Fisheries Inland;April;1981; MSU-Marawi
19710001;Bachelor of Arts English;April;1971; MSU-Marawi
19850005;BSBA Accounting;April;1985; MSU-Marawi
19830006;Diploma in Midwifery;April;1983; MSU-Marawi
20020001;B.S. in Accountancy;April;2002; MSU-Marawi
20060007;B.S. in Community Development;April;2006; MSU-Marawi
19850006;Diploma in Engineering Technology;March;1985; MSU-IIT
20080004;Certificate in Forest Ranger;November;2008; MSU-Marawi
19770001;Diploma in Engineering Technology;1977;1977; MSU-IIT
19770001;B.S. in Electronics Engineering;April;1982; MSU-IIT
19970007;B.S. in Public Administration;April;1997; MSU-Marawi
19970008;BSBA Management;April;1997; MSU-Marawi
19980007;Certificate in Prawn Hatchery Technology;April;1998; MSU-Naawan
19880007;Bachelor of Arts English Linguistics;April;1988; MSU-IIT
19900006;BSBA Management;March;1990; MSU-IIT
19950003;Bachelor of Elementary Education Mathematics;April;1995; MSU-Marawi
19950004;Diploma in Fisheries Technology;April;1995; MSU-Marawi
19790003;B.S. in Marine Biology;April;1979; MSU-Marawi
19990005;Diploma in Agricultural Technology;1999;1999; MSU-Buug
19800005;Diploma  in Engineering Technology;1980;1980; MSU-IIT
19960002;Certificate in Governmental Management;March;1996; MSU-Marawi at MSU-IIT Extension
19960002;Master  in Public Administration;April;1997; MSU-Marawi at MSU-IIT Extension
19910002;B.S. in Civil Engineering;April;1991; MSU-Marawi
19830007;BSBA Accounting;March;1983; MSU-IIT
19980008;B.S. in Agriculture Agronomy;1998;1998; MSU-Buug
19900007;BSBA Economics;March;1990; MSU-IIT
19980009;B.S. in Public Administration;April;1998; MSU-Marawi
19990006;Diploma in Fisheries Technology;March;1999; MSU-Marawi
19990006;B.S. Physical Education;April;2006; MSU-Marawi
19810009;B.S. in Agricultraul Engineering;April;1981;  MSU-Marawi
19880008;BSBA Accounting;April;1988; MSU-Marawi
19840002;B.S. in Forestry;April;1984; MSU-Marawi
19820004;B.S. in Agricultural Business;April;1982; MSU-Marawi
19870009;B.S. in Public Administration;April;1987; MSU-Marawi
19900008;B.S. in Education Mathematics;March;1990; MSU-IIT
19970009;Certificate in Governmental Management;April;1997; MSU-Marawi at Sultan Kudarat Extension
20030007;B.S. in Agriculture Animal Science;April;2003; MSU- Marawi
19970010;Master in Public Administration;April;1997; MSU-Marawi at  MSU-IIT Extension
20070007;B.S. in Public Administration;April;2007; MSU-Marawi
19760001;B.S. in Agricultural Engineering;March;1976; MSU-Marawi
19820005;Diploma in Fisheries Technology;April;1982; MSU- Marawi
20040004;Bachelor of Arts English;2004;2004; MSU-Buug
19860003;Diploma in Fisheries Technology;April;1986; MSU-Marawi
19820006;Diploma in Engineering Technology;1982;1982; MSU-IIT
20010007;Certificate in Governmental Management;November;2001; MSU-Marawi
20010007;Master in Public Administration;April;2004; MSU-Marawi
20070008;B.S. in International Relations;November;2007; MSU-Marawi
19930002;BSBA Accounting;April;1993; MSU-Marawi
19970011;B.S. in Accountancy;April;1997; MSU-Marawi
19820007;B.S. in Civil Engineering;April;1982; MSU-Marawi
20080005;B.S. in International Relations;April;2008; MSU-Marawi
20040005;BSBA Management;April;2004; MSU-Marawi
